0,1,2,3
111.113432,1.5e-05,7e-06,1.7e-05
112.110999,1.4e-05,3e-06,3e-06
111.50432,3e-06,1.2e-05,1e-06
112.510152,4e-06,2e-06,1e-06
112.299908,2e-05,1.1e-05,3e-06
