,64,128,256,512,1024
Meat Portion Time,0.005658,0.019661,0.142294,0.87774,6.412325
User Time,0.01,0.02,0.15,0.9,6.47
System Time,0.0,0.0,0.0,0.01,0.02
CPU Time,0.01,0.02,0.15,0.91,6.489999999999999
