,64,128,256,512,1024
Meat Portion Time,0.029775000000000003,0.196865,1.544774,12.780401000000001,105.682336
User Time,0.06,0.23,1.59,12.85,105.6
System Time,0.01,0.01,0.01,0.07,0.48
CPU Time,0.06999999999999999,0.24000000000000002,1.6,12.92,106.08
